,Name,Rating,Review Count,Price
134,Brenda's French Soul Food,4.0,10360,2
247,Tartine Bakery & Cafe,4.0,7576,2
206,Hog Island Oyster Co,4.5,5596,2
232,Gary Danko,4.5,5341,4
129,Fog Harbor Fish House,4.0,5167,2
