,Name,Rating,Review Count,Price
636,Café Tu Tu Tango,4.5,2418,2
662,The Cowfish Sushi Burger Bar,4.0,2025,2
628,Hash House A Go Go,4.0,2008,2
617,Se7en Bites,4.5,1619,2
612,Pig Floyd's Urban Barbakoa,4.5,1608,2
