,Name,Rating,Review Count,Price
11,Screen Door,4.5,6379,2
8,Pok Pok,4.0,5778,2
51,Mother’s Bistro & Bar,4.5,3958,2
3,Tasty n Alder,4.5,3468,2
21,Andina Restaurant,4.5,2834,3
