,Name,Rating,Review Count,Price
269,Versailles Restaurant,4.0,4142,2
253,CVI.CHE 105,4.5,3097,2
256,Kush,4.5,2123,2
358,SUGARCANE Raw Bar Grill,4.0,1939,3
275,Tacos & Tattoos,4.0,1550,2
