,Name,Rating,Review Count,Price
998,Phil's BBQ,4.5,13238,2
1045,Lucha Libre Gourmet Taco Shop,4.0,7348,1
987,Hash House A Go Go,4.0,7178,2
1013,Snooze,4.5,6149,2
1007,Donut Bar,4.0,3828,1
