,Name,Rating,Review Count,Price
1113,Hopdoddy Burger Bar,4.0,4431,2
1057,Franklin Barbecue,4.5,4396,2
1053,Moonshine Patio Bar & Grill,4.5,4066,2
1144,Home Slice Pizza,4.5,3374,2
1051,Salty Sow,4.5,2448,2
