,Name,Rating,Review Count,Price
713,Bacchanal Buffet,4.0,8874,3
733,Mon Ami Gabi,4.0,8769,2
772,Secret Pizza,4.0,4501,1
701,Yardbird Southern Table & Bar,4.5,4216,2
779,Gordon Ramsay Steak,4.0,3855,4
